topic_id,order,name_en,name_zh,keywords,representative
T0,0,Foundations: LLM Agents & Harness Engineering,基础：LLM Agent 与 Harness 工程,LLM agent / harness engineering / recursive self-improvement / context engineering / agentic workflow search,"Lil'Log (LLM Powered Autonomous Agents; Harness Engineering for Self-Improvement), ACE, Meta-Harness, Self-Harness, DGM"
T1,1,Agent + Robot Overview,Agent + Robot 总览,Agentic Robotics / Embodied Agent / LLM Robot Agent / Physical AI Agent,"AgenticLab, Agentic Robot, ManiAgent"
T2,2,Coding Agents Control Robots,Coding Agent 控机器人,Code-as-Policy robotics / robot coding agent / coding agents robot manipulation,"Code as Policies, CaP-X, RHO, ASPIRE"
T3,3,OpenClaw / ROS,OpenClaw / ROS,OpenClaw robotics / ROS2 agentic robot / MCP robotics,"ROSClaw, OpenClawPi, AgentRob"
T4,4,Long-Horizon Tasks,长程任务,long-horizon robotic manipulation agent / hierarchical robot agent,"RoboClaw, H-WM, Agentic Robot, REMAC"
T5,5,Robot Memory,Robot Memory,robot memory / memory-augmented VLA / episodic memory robotics / history-dependent manipulation,"RoboMME, PonderPounce, ViReSkill"
T6,6,Reflection / Failure Correction,Reflection / 反思纠错,robot self-reflection / closed-loop replanning robot / failure reflection robotics,"REMAC, AgenticLab, ASPIRE"
T7,7,Self-Evolution,Self-Evolution / 自进化,self-evolving robot agent / lifelong embodied learning / continual robot learning,"Arcadia, ASPIRE, PhyAgentOS, Growing with Your Embodied Agent"
T8,8,Skill Library,Skill Library / 技能库,robot skill memory / atomic skill library / autonomous skill discovery,"Agentic Skill Discovery, Atomic Skill Library, ViReSkill"
T9,9,VLA + RL,VLA + RL,VLA reinforcement learning / online RL VLA / offline-to-online robot policy,"TwinRL, LWD, SAC Flow, CaP-RL, TT-VLA"
T10,10,Deployment Data Flywheel,部署数据回流,learning while deploying robot / fleet robot learning / deployment feedback robot policy,"Learning While Deploying, RoboClaw, Arcadia"
T11,11,Digital Twin / Sim2Real,数字孪生 / Sim2Real,digital twin robot RL / sim-from-real robotics / simulation guided robot learning,"TwinRL, Arcadia"
T12,12,World Model,World Model,robot world model planning / hierarchical world model robotics,"H-WM"
T13,13,Fast-Slow Dual Systems,快慢双系统,dual-system VLA / fast slow robot reasoning / System 1 System 2 robotics,"Fast-in-Slow, OneTwoVLA, StreamVLA, LaST0, RationalVLA"
T14,14,Edge Agent / On-Device Deployment,Edge Agent / 端侧部署,edge embodied AI / on-device VLA / robot inference latency,"Fast-in-Slow, Harness Engineering"
T15,15,Harness,Harness,robot harness / Physical AI harness / VLA harness,"RHO, Harness VLA, Harness Engineering, PhyAgentOS"
T16,16,Runtime,Runtime,embodied agent runtime / robot runtime governance,"PhyAgentOS, Runtime Governance"
T17,17,Safety,安全,embodied agent safety / robot agent safety envelope / policy constrained execution,"ROSClaw, Runtime Governance, RationalVLA"
T18,18,Standard Interfaces / Hardware API,标准接口 / Hardware API,agent hardware interface / AI hardware standard / MCP physical devices,"MHS, ROSClaw"
T19,19,Multi-Robot Collaboration,多机器人协作,multi-robot LLM / multi-agent robot collaboration,"RoCo, REMAC, RoboOS"
T20,20,Cross-Embodiment,跨本体,cross-embodiment robot agent / heterogeneous robot collaboration,"RoboOS, ASPIRE, Harness VLA"
T21,21,Fleet Learning,群体学习 / Fleet Learning,fleet learning robotics / shared robot experience / collective robot learning,"LWD, RoboOS"
T22,22,Active Perception,主动感知,active perception robot agent / VLM active perception manipulation,"AgenticLab, PhysCaP, ActiveVLA"
T23,23,Verifier / Success Verification,Verifier / 成功验证,robot verifier agent / semantic verification robotics / precondition postcondition VLM,"Harness VLA, PhyAgentOS, REMAC"
T24,24,Robot RSI: Recursive Self-Improvement,Robot RSI：递归自我改进,recursive self-improvement robot / deployment-time self-evolution / training-time self-iteration / self-evaluation verifier / auto research robotics / human-on-the-loop,"ENPIRE, ASPIRE, RoboHarness, RoboClaw, PRIMO R1, VERITAS, Eureka, DrEureka, Reflexion, STaR, Let's Verify Step by Step, Meta-Rewarding LMs, The AI Scientist"
